Original_Index,Selected_Index,Correlation
1213,897,0.353233
1214,898,0.390232
1215,899,-0.128445
1217,900,0.348636
1218,901,0.351770
1219,902,-0.105128
1221,903,0.378050
1222,904,0.393525
1223,905,-0.133221
1224,906,-0.134723
1225,907,0.343004
1226,908,0.422124
1229,909,0.331661
1230,910,0.359523
1231,911,-0.143396
1233,912,0.293771
1234,913,0.367774
1235,914,-0.174179
1236,915,-0.147398
1237,916,0.336079
1238,917,0.328079
1239,918,-0.170998
1240,919,-0.186261
1241,920,0.287016
1242,921,0.368994
1243,922,-0.128732
1244,923,-0.126088
1245,924,0.350790
1246,925,0.354186
1247,926,-0.126918
1248,927,-0.172172
1249,928,0.244294
1250,929,0.296273
1251,930,-0.196277
1253,931,0.311995
1254,932,0.392385
1255,933,-0.145839
1256,934,-0.104856
1257,935,0.289689
1258,936,0.346756
1259,937,-0.260752
1260,938,-0.156182
1261,939,0.337439
1262,940,0.316948
1263,941,-0.221982
1264,942,-0.169513
1265,943,0.286514
1266,944,0.358658
1269,945,0.334365
1270,946,0.292906
1271,947,-0.128872
1272,948,-0.121990
1273,949,0.295763
1274,950,0.383315
1275,951,-0.235860
1276,952,-0.142854
1277,953,0.341979
1278,954,0.340272
1279,955,-0.171574
1280,956,-0.139999
1281,957,0.242998
1282,958,0.368966
1283,959,-0.137422
1284,960,-0.145975
1285,961,0.328821
1286,962,0.316130
1287,963,-0.167209
1288,964,-0.157777
1289,965,0.263827
1290,966,0.337268
1291,967,-0.173320
1292,968,-0.103674
1293,969,0.317268
1294,970,0.315025
1295,971,-0.160812
1296,972,-0.113324
1297,973,0.364527
1298,974,0.339426
1299,975,-0.116416
1300,976,-0.111004
1301,977,0.379483
1302,978,0.414818
1303,979,-0.121795
1304,980,-0.111839
1305,981,0.317383
1306,982,0.347050
1307,983,-0.185796
1309,984,0.356528
1310,985,0.379764
1311,986,-0.221788
1312,987,-0.136600
1313,988,0.332540
1314,989,0.417465
1315,990,-0.106351
1317,991,0.347530
1318,992,0.373109
1319,993,-0.202805
1320,994,-0.167415
1321,995,0.268494
1322,996,0.353747
1323,997,-0.150453
1325,998,0.307193
1326,999,0.342013
1327,1000,-0.199313
1328,1001,-0.165610
1329,1002,0.287362
1330,1003,0.353042
1331,1004,-0.133857
1332,1005,-0.144465
1333,1006,0.315698
1334,1007,0.336119
1335,1008,-0.189009
1336,1009,-0.134607
1337,1010,0.287660
1338,1011,0.356574
1339,1012,-0.109763
1341,1013,0.358269
1342,1014,0.383110
1343,1015,-0.147254
1345,1016,0.261941
1346,1017,0.324216
1347,1018,-0.160675
1348,1019,-0.181988
1349,1020,0.357050
1350,1021,0.320487
1351,1022,-0.145722
1353,1023,0.317380
1354,1024,0.382240
1355,1025,-0.217457
1356,1026,-0.125304
1357,1027,0.410897
1358,1028,0.402655
1359,1029,-0.114254
1360,1030,-0.113326
1361,1031,0.310862
1362,1032,0.374496
1363,1033,-0.243616
1364,1034,-0.190491
1365,1035,0.274180
1366,1036,0.238919
1367,1037,-0.201545
1368,1038,-0.176438
1369,1039,0.312338
1370,1040,0.302898
1371,1041,-0.151747
1373,1042,0.350227
1374,1043,0.386929
1375,1044,-0.123790
1377,1045,0.330203
1378,1046,0.389007
1380,1047,-0.153748
1381,1048,0.305698
1382,1049,0.305227
1383,1050,-0.182336
1384,1051,-0.147092
1385,1052,0.330936
1386,1053,0.331066
1387,1054,-0.197649
1388,1055,-0.122958
1389,1056,0.308296
1390,1057,0.287118
1391,1058,-0.212724
1392,1059,-0.100172
1393,1060,0.255812
1394,1061,0.341237
1395,1062,-0.163309
1397,1063,0.291188
1398,1064,0.320343
1400,1065,-0.126331
1401,1066,0.334492
1402,1067,0.280623
1403,1068,-0.176218
1405,1069,0.290520
1406,1070,0.313326
1407,1071,-0.112326
1409,1072,0.284311
1410,1073,0.333453
1411,1074,-0.140087
1412,1075,-0.185387
1413,1076,0.235872
1414,1077,0.306993
1415,1078,-0.150368
1416,1079,-0.189803
1417,1080,0.279369
1418,1081,0.381486
1419,1082,-0.167001
1421,1083,0.265030
1422,1084,0.390289
1423,1085,-0.126998
1424,1086,-0.134017
1425,1087,0.289570
1426,1088,0.324184
1427,1089,-0.117534
1428,1090,-0.118207
1429,1091,0.294899
1430,1092,0.266125
1431,1093,-0.216961
1432,1094,-0.126559
1433,1095,0.290817
1434,1096,0.343666
1435,1097,-0.105081
1437,1098,0.284604
1438,1099,0.374618
1439,1100,-0.118111
1440,1101,-0.102920
